,Unnamed: 0,0,NAME,GEO_ID,DP03_0068E,DP03_0069E,DP03_0066E,DP03_0067E,DP03_0064E,DP03_0065E,DP03_0062E,DP03_0063E,DP03_0060E,DP03_0061E,DP03_0070E,DP03_0071E,DP03_0078E,DP03_0079E,DP03_0076E,DP03_0077E,DP03_0074E,DP03_0075E,DP03_0072E,DP03_0073E,DP03_0082E,DP03_0083E,DP03_0080E,DP03_0081E,DP03_0088E,DP03_0089E,DP03_0086E,DP03_0087E,DP03_0084E,DP03_0085E,DP03_0094E,DP03_0092E,DP03_0093E,DP03_0090E,DP03_0091E,DP03_0058E,DP03_0059E,DP03_0056E,DP03_0057E,DP03_0054E,DP03_0055E,DP03_0052E,DP03_0053E,DP03_0051E,state,place,CITY,STATE
487,488,488,"South Gate city, California",1600000US0673080,1736,15110,6676,13733,20885,67869,55128,67965,997,824,1497,7534,1634,2889,632,809,3912,20251,1549,4107,3394,1703,2240,5599,18371,3440,55129,65654,694,657,32097,27452,33369,30222,46886,3685,2202,2837,5895,2042,2978,951,1280,23691,6,73080,South Gate, California
488,489,489,"Temecula city, California",1600000US0678120,6347,32586,8605,19281,28468,107771,96402,111153,4372,3366,1667,9909,815,1251,716,413,2173,27579,740,4512,3988,7387,1630,4549,33908,5280,102284,116992,3847,2983,49984,43732,71173,57435,71544,4714,7944,2216,5622,1437,1519,819,850,32859,6,78120,Temecula, California
489,490,490,"Tracy city, California",1600000US0680238,4373,29750,5438,18310,22769,112929,98630,114876,2646,3650,1256,8586,733,437,225,222,2174,21015,714,4607,2944,5695,2324,3250,33276,4778,101642,119205,2293,2892,50894,42784,60846,59828,78433,3716,6360,2855,4047,951,582,857,129,25793,6,80238,Tracy, California
490,491,491,"Turlock city, California",1600000US0680812,3270,18449,6589,17972,20135,69665,61016,70928,1226,774,1858,11713,1838,2424,713,428,3135,17566,1443,6250,2528,2979,1773,2971,24358,6574,62177,77480,1180,732,41984,30844,49787,22338,44166,3346,4078,1566,4650,2867,2482,1802,1349,24140,6,80812,Turlock, California
491,492,492,"Walnut Creek city, California",1600000US0683346,8798,46695,13973,21490,21248,148037,110539,139920,3824,7531,813,10187,482,420,626,261,399,18487,520,-999999999,1688,3395,1123,1308,64616,13188,148068,175432,2619,6565,82142,71147,116397,72475,86566,3440,6112,2863,3133,1274,1323,1128,1047,31675,6,83346,Walnut Creek, California
492,493,493,"West Covina city, California",1600000US0684200,5068,28112,8977,19086,25476,93914,82474,94850,2823,1935,1958,10111,1452,1080,743,364,1708,24247,988,2985,4606,5535,2451,3839,28645,6086,86146,98491,2622,1555,42325,35088,53718,42838,63108,5216,6900,2726,4859,2539,1487,1107,741,30333,6,84200,West Covina, California
493,494,494,"Arvada city, Colorado",1600000US0803455,10850,29346,14466,20711,40578,107420,87955,105494,6595,4416,988,10265,408,1869,149,365,1646,31032,618,-999999999,4214,8372,2099,4131,44797,19290,112180,128405,5221,4204,52419,50639,70888,51508,63019,6838,11091,4388,8490,2650,3594,1390,870,50322,8,3455,Arvada, Colorado
494,495,495,"Boulder city, Colorado",1600000US0807850,5782,38101,8287,20515,36769,92907,62207,105756,3567,6213,675,7914,718,959,683,627,1538,19225,516,-999999999,1887,3060,897,2691,44028,24103,120412,159785,2651,5052,60758,26015,52079,41416,61044,4555,5298,3858,6402,2792,2984,6055,1604,43328,8,7850,Boulder, Colorado
495,496,496,"Hartford city, Connecticut",1600000US0937000,4003,21095,11547,13270,32609,54414,30444,48318,859,1043,5397,9716,3776,4459,2901,1270,16526,26233,6163,4127,2157,2276,3973,4266,19215,19839,36850,53912,422,733,36074,27076,35977,16938,36321,3334,3382,5026,7086,6767,6090,7498,4987,46072,9,37000,Hartford, Connecticut
496,497,497,"New Britain city, Connecticut",1600000US0950370,2820,22526,6703,17825,20707,71243,46218,64097,943,664,2756,8495,1903,2277,461,628,7713,17025,2054,3958,2019,2897,2403,2991,24988,10415,55991,72994,873,573,38707,31769,45236,29226,44269,2734,3723,3744,4690,3173,3751,2317,1701,27440,9,50370,New Britain, Connecticut
