,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
141,"League City city, Texas",1600000US4841980,56227,56172,80518,56172,-888888888.0,55,24291,52510,3662,6722,4029,-999999999,-999999999,-999999999,-999999999,22495,17481,48,41980
142,"North Richland Hills city, Texas",1600000US4852356,40161,40027,56153,40027,-888888888.0,134,15992,38898,1129,4989,3610,-999999999,-999999999,-999999999,-999999999,10491,8306,48,52356
143,"Odessa city, Texas",1600000US4853388,63149,63149,90210,63149,-888888888.0,0,27061,60123,3026,11847,7730,27186,25366,45074,27186,21545,17656,48,53388
144,"Round Rock city, Texas",1600000US4863500,74021,73762,98325,73762,-888888888.0,259,24304,70076,3686,10313,7015,33758,31895,48248,33940,22499,17058,48,63500
145,"San Angelo city, Texas",1600000US4864472,52454,48826,79636,48826,-888888888.0,3628,27182,46750,2076,7679,5037,23836,22724,39660,24592,15914,12127,48,64472
146,"Provo city, Utah",1600000US4962470,66756,66726,94390,66726,-888888888.0,30,27634,64451,2275,9343,3907,31661,30354,47899,31661,14669,8323,49,62470
147,"St. George city, Utah",1600000US4965330,35420,35420,68738,35420,-888888888.0,0,33318,34375,1045,-999999999,-999999999,15579,15123,35025,15579,-999999999,-999999999,49,65330
148,"Newport News city, Virginia",1600000US5156000,94013,86844,140997,86844,-888888888.0,7169,46984,84200,2644,14503,10531,44265,42752,73131,45293,24492,19487,51,56000
149,"Spokane city, Washington",1600000US5367000,114540,114062,179844,114062,-888888888.0,478,65304,107818,6244,13283,10038,55557,52821,91657,55661,28812,23495,53,67000
150,"Guaynabo zona urbana, Puerto Rico",1600000US7232522,31076,31076,59250,31076,-888888888.0,0,28174,28951,2125,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,72,32522
151,"Hoover city, Alabama",1600000US0135896,42375,42375,64848,42375,-888888888.0,0,22473,41378,997,6662,3398,19835,19224,35489,19835,15600,10803,01,35896
152,"Goodyear city, Arizona",1600000US0428380,39153,38904,68652,38904,-888888888.0,249,29499,37515,1389,5640,3176,18539,17816,37017,18539,10897,6091,04,28380
153,"Yuma city, Arizona",1600000US0485540,44722,41113,75903,41113,-888888888.0,3609,31181,37527,3586,7977,5045,19285,18056,37521,19344,15737,11980,04,85540
154,"Rogers city, Arkansas",1600000US0560410,37830,37830,51702,37830,-888888888.0,0,13872,36852,978,5100,3687,-999999999,-999999999,-999999999,-999999999,12444,9265,05,60410
155,"Carmichael CDP, California",1600000US0611390,32095,32058,52398,32058,-888888888.0,37,20303,30651,1407,5359,2615,-999999999,-999999999,-999999999,-999999999,8469,5958,06,11390
156,"Chino Hills city, California",1600000US0613214,42056,41578,64497,41578,-888888888.0,478,22441,40052,1526,7941,5250,18152,17637,32993,18408,12430,6165,06,13214
157,"Concord city, California",1600000US0616000,76352,76018,109702,76018,-888888888.0,334,33350,73104,2914,7811,5910,38331,37138,57853,38331,13162,10303,06,16000
158,"East Los Angeles CDP, California",1600000US0620802,58069,58019,92853,58019,-888888888.0,50,34784,53384,4635,8806,5062,25546,22994,47219,25546,17408,10352,06,20802
159,"El Cajon city, California",1600000US0621712,49463,48984,80015,48984,-888888888.0,479,30552,46067,2917,8920,4603,21088,19692,39635,21190,16574,9260,06,21712
160,"Hayward city, California",1600000US0633000,82583,82583,126690,82583,-888888888.0,0,44107,78738,3845,12340,8701,37454,35823,64508,37454,22095,15813,06,33000
161,"Jurupa Valley city, California",1600000US0637692,51888,51799,82985,51799,-888888888.0,89,31097,46817,4982,9441,5523,21843,18836,40168,21843,17264,9035,06,37692
162,"Lake Elsinore city, California",1600000US0639486,32414,32299,49810,32299,-888888888.0,115,17396,29212,3087,7784,5377,15083,12842,25680,15198,10815,6703,06,39486
163,"Lake Forest city, California",1600000US0639496,49685,49685,68342,49685,-888888888.0,0,18657,46970,2715,-999999999,-999999999,23863,22966,35988,23863,-999999999,-999999999,06,39496
